embedding_model,reranker_scenario,reranker_description,question_id,question,correct_answer,model_answer,is_correct,bleu,f1,response_time,error_message
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,11,حكم الاستنجاء باليد اليمنى:,ب, ب: منهي عنه بإجماع العلماء ,True,0.009849574084214482,1.0,4.253854513168335,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,12,حكم السواك عند الصلاة:,ب, ب: مستحب ومشروع بإجماع العلماء ,True,0.008811835296733616,1.0,5.171012878417969,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,13,حكم الختان للرجال:,ب, الجواب: أ: واجب بإجماع العلماء ,True,0.008811835296733616,1.0,4.599726915359497,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,14,حكم التثليث في الوضوء:,ب, ب ,True,0.07249749990681824,1.0,3.811755657196045,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,15,ما هو حكم استقبال القبلة في الصلاة:,ب, ب: واجب بإجماع العلماء ,True,0.011199617145528714,1.0,4.981560945510864,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,16,حكم الطهارة للصلاة:,ب, ب: واجبة بإجماع المسلمين ,True,0.010477009940175953,1.0,4.484543323516846,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,17,حكم قراءة الفاتحة في الصلاة:,ب, ب: واجبة بإجماع العلماء ,True,0.010825057921671676,1.0,4.058182954788208,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,18,حكم الزكاة في الإسلام:,ب, ب: واجبة بإجماع المسلمين ,True,0.010477009940175953,1.0,4.222563028335571,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,19,حكم التيمم عند عدم وجود الماء:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,4.604136228561401,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,20,حكم المسح على الخفين:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.319286823272705,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,21,حكم الصلاة على الميت:,ب, ب: فرض كفاية بإجماع العلماء ,True,0.009565665109256835,1.0,3.8793833255767822,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,22,حكم سجود السهو:,ب, الجواب: ب: واجب عند جمهور العلماء ,True,0.008176856499690712,1.0,4.040895938873291,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,23,حكم صلاة الجمعة على الرجال:,ب, ب: فرض عين بإجماع العلماء ,True,0.01015265650850611,1.0,3.3221209049224854,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,24,حكم صلاة العيدين:,ب, الجواب: ج: فرض كفاية ,False,0.012042033681462784,0.0,4.390583515167236,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,25,حكم العمرة في العمر:,ب, ب: واجبة مرة واحدة بإجماع العلماء ,True,0.008176856499690712,1.0,4.1031494140625,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,26,حكم صلاة التراويح:,ب, ب: سنة مؤكدة بإجماع العلماء ,True,0.009565665109256835,1.0,4.480924606323242,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,27,حكم البيع بشرط الخيار:,ب, الجواب: ب: جائز بإجماع العلماء ,True,0.008811835296733616,1.0,3.8346686363220215,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,28,حكم بيع الذهب بالذهب متفاضلاً (مع زيادة):,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,4.548219203948975,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,29,حكم بيع الفضة بالفضة متفاضلاً:,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,3.5852162837982178,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,30,حكم بيع الطعام بالطعام متفاضلاً:,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,4.9541099071502686,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,31,حكم بيع العربون:,ب, ب: جائز عند جمهور العلماء ,True,0.01015265650850611,1.0,4.184922456741333,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,32,حكم الشفعة في العقار:,ب, ب: ثابتة بإجماع العلماء ,True,0.010825057921671676,1.0,3.107025623321533,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,33,حكم الوقف في الإسلام:,ب, ب: جائز ومستحب بإجماع العلماء ,True,0.009048295247234425,1.0,4.115124225616455,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,34,حكم الهبة:,ب, الجواب: ب: جائزة ومستحبة بإجماع العلماء ,True,0.0071638813215387015,1.0,4.29740571975708,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,35,حكم العارية:,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,3.721583366394043,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,36,حكم إعارة السلاح في الفتنة:,ب, ب: محرمة بإجماع العلماء ,True,0.010825057921671676,1.0,4.622056245803833,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,37,حكم الوديعة (حفظ المال):,ب, الجواب: ب: جائزة وواجبة عند الجمهور ,True,0.007805988703535686,1.0,6.219090461730957,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,38,حكم الوكالة:,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,3.7287917137145996,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,39,حكم المضاربة (شركة بين مال وعمل):,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,4.4241626262664795,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,40,حكم المساقاة (شركة بين شجر وعمل):,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,4.145341634750366,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,41,حكم المزارعة (شركة بين أرض وعمل):,ب, الجواب: ب: جائزة بإجماع العلماء ,True,0.008588486560503192,1.0,5.4175121784210205,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,42,حكم الصلح بين الخصوم:,ب, ب: جائز ومستحب بإجماع العلماء ,True,0.009048295247234425,1.0,4.180616617202759,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,43,حكم الإبراء من الدين:,ب, الجواب: ب: جائز بإجماع العلماء ,True,0.008811835296733616,1.0,4.571527481079102,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,44,حكم إجارة العين لمالكها:,ب, ب: جائزة عند جمهور العلماء ,True,0.009849574084214482,1.0,3.7806100845336914,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,45,حكم الإجارة على الأعمال المحرمة:,ب, ب: باطلة ومحرمة بإجماع العلماء ,True,0.008811835296733616,1.0,4.6904988288879395,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,46,حكم إجارة الرجل لامرأة أجنبية للإرضاع:,ب, الجواب: أ: محرمة بإجماع العلماء ,False,0.008588486560503192,0.0,3.6091601848602295,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,47,حكم الجعالة (جعل أجرة على عمل مجهول):,ب, الجواب: ج: مكروهة عند الجمهور ,False,0.009048295247234425,0.0,2.8915061950683594,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,48,حكم السبق (الجائزة) في المسابقات:,ب, ب: جائز في الخيل والإبل والسهام بإجماع العلماء ,True,0.006277466950757328,1.0,3.973558187484741,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,49,حكم الرهن:,ب, الجواب: ب: جائز بإجماع العلماء ,True,0.008811835296733616,1.0,4.04860782623291,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,50,حكم الكفالة والضمان:,ب, ب: الكفالة والضمان جائزان بإجماع العلماء ,True,0.00702083472657119,1.0,4.4871509075164795,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,51,حكم الحوالة:,ب, الجواب: ب: الحوالة جائزة بإجماع العلماء ,True,0.0071638813215387015,1.0,4.3845672607421875,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,52,حكم الأيمان:,ب, ب: الأيمان جائزة بالله وصفاته ,True,0.009048295247234425,1.0,3.8543686866760254,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,53,حكم الصيد بالكلب المعلم:,ب, ب: الصيد بالكلب المعلم جائز بإجماع العلماء ,True,0.0067525623389387635,1.0,3.6668810844421387,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,54,حكم الذبائح:,ب, ب: الذبائح حلال بإجماع المسلمين ما لم تذبح لغير الله ,True,0.0056860862169080505,1.0,3.581423759460449,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,55,حكم الصيد بالجوارح (غير الكلب):,ب, ب: الصيد بالجوارح (غير الكلب) جائز بإجماع العلماء ,True,0.005965939103175657,1.0,4.1638407707214355,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,56,حكم الأضحية:,ب, ج: الأضحية فرض كفاية ,False,0.0,0.0,3.314962863922119,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,57,حكم العقيقة عن المولود:,ب, ب: العقيقة سنة مؤكدة بإجماع العلماء ,True,0.007805988703535686,1.0,7.20751428604126,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,58,حكم الجهاد في سبيل الله:,ب, ب: الجهاد فرض كفاية بإجماع العلماء ,True,0.007986728673290205,1.0,3.773699998855591,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,59,حكم قتال المرتد:,ب, ب: قتال المرتد واجب بإجماع العلماء ,True,0.007986728673290205,1.0,4.729107141494751,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,60,حكم قتال البغاة:,ب, ب: قتال البغاة واجب بإجماع العلماء ,True,0.007986728673290205,1.0,3.321387767791748,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,61,حكم قتال أهل الذمة:,ب, ب: قتال أهل الذمة محرم بإجماع العلماء ما لم ينقضوا العهد ,True,0.005354194904142114,1.0,3.9169206619262695,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,62,حكم الجزية:,ب, ب: الجزية واجبة على أهل الكتاب بإجماع العلماء ,True,0.006389329974674238,1.0,3.440082311630249,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,63,حكم الرق (العبودية):,ب, ب: الرق مشروع في بعض الحالات وبشروط بإجماع العلماء ,True,0.005869389976559867,1.0,4.507954359054565,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,64,حكم العتق:,ب, ب: العتق مستحب بإجماع المسلمين ,True,0.008811835296733616,1.0,3.4988245964050293,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,65,حكم الولاء:,ب, ب: الولاء للمسلم على المسلم واجب بإجماع العلماء ,True,0.00616976802746866,1.0,4.209850311279297,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,66,حكم شهادة الزور:,ب, ب: شهادة الزور محرمة بإجماع المسلمين ,True,0.007633935801913548,1.0,3.389089822769165,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,67,حكم القضاء في الإسلام:,ب, ب: القضاء واجب على الكفاية بإجماع العلماء ,True,0.006883858510498897,1.0,4.297141075134277,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,68,حكم المظالم:,ب, ب: المظالم محرمة بإجماع المسلمين ,True,0.008377152169377823,1.0,4.090576410293579,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,69,حكم أخذ مال المسلم بغير حق:,ب, ب: أخذ مال المسلم محرم بإجماع المسلمين ,True,0.007313425995364251,1.0,4.656706809997559,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,70,حكم المهر في النكاح:,ب, ب: المهر واجب بإجماع العلماء ,True,0.0092991042878441,1.0,3.1874263286590576,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,71,حكم الصداق (الهبة من الرجل لزوجته):,ب, ب: الصداق جائز ومستحب بإجماع العلماء ,True,0.007633935801913548,1.0,4.856445074081421,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,72,حكم الإعسار في الدين:,ب, ب: ينظر المعسر بإجماع العلماء ,True,0.009048295247234425,1.0,3.5351674556732178,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,73,حكم الإفلاس:,ب, ب: يعلن إفلاسه بإجماع العلماء ,True,0.009048295247234425,1.0,3.905475616455078,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,74,حكم التفليس:,ب, الإجابة الصحيحة هي: أ: التفليس محرم بإجماع العلماء. ,False,0.005776163584689931,0.0,3.427680015563965,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,75,حكم الكفالة:,ب, ب: الكفالة جائزة بإجماع العلماء ,True,0.008588486560503192,1.0,4.181154012680054,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,76,حكم الضمان:,ب, ب: الضمان جائز بإجماع العلماء ,True,0.009048295247234425,1.0,3.386103630065918,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,77,حكم الإيلاء (اليمين على عدم قربان الزوجة):,ب, ب: الإيلاء جائز عند جمهور العلماء ,True,0.008176856499690712,1.0,4.622134685516357,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,78,حكم الظهار:,ب, ب: الظهار محرم بإجماع العلماء ,True,0.009048295247234425,1.0,3.7447774410247803,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,79,حكم اللعان:,ب, ب: اللعان مشروع عند التهمة بالزنا ,True,0.008176856499690712,1.0,3.352620840072632,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,80,حكم الخلع:,ب, الجواب: ب: الخلع جائز بإجماع العلماء ,True,0.007633935801913548,1.0,4.724812984466553,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,81,حكم الطلاق:,ب, ب: الطلاق جائز بأسبابه وبشروطه بإجماع العلماء ,True,0.006389329974674238,1.0,5.112345933914185,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,82,حكم الرجعة بعد الطلاق:,ب, ب: الرجعة جائزة في الطلاق الرجعي بإجماع العلماء ,True,0.00616976802746866,1.0,3.8557255268096924,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,83,حكم العدة بعد الطلاق:,ب, ب: العدة واجبة بإجماع العلماء ,True,0.009048295247234425,1.0,4.174658536911011,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,84,حكم النفقة بعد الطلاق:,ب, ب: النفقة واجبة في العدة بإجماع العلماء ,True,0.0071638813215387015,1.0,4.190305233001709,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,85,حكم الحضانة بعد الطلاق:,ب, ب: الحضانة واجبة بإجماع العلماء ,True,0.008588486560503192,1.0,4.417379140853882,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,86,حكم الوصية للوارث:,ب, ب: الوصية للوارث محرمة بإجماع العلماء إلا بإذن باقي الورثة ,True,0.005203424609196104,1.0,4.6375062465667725,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,87,حكم وجوب صلاة الوتر:,ب, الجواب: ب: صلاة الوتر سنة مؤكدة عند جمهور العلماء ,True,0.005965939103175657,1.0,4.915349006652832,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,88,حكم ذبح غير المسلم للحيوان المأكول:,ب, ب: ذبيحته حرام إلا ذبيحة أهل الكتاب بالشروط المعتبرة عند جمهور العلماء ,True,0.0044608951829991,1.0,5.2622082233428955,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,89,حكم من سب الله أو رسوله:,ب, ب: هو كافر مرتد بإجماع العلماء ,True,0.008811835296733616,1.0,4.973387956619263,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,90,حكم اللعان بين الزوجين:,ب, ب: اللعان مشروع بإجماع العلماء عند التهمة بالزنا ,True,0.006065997938636506,1.0,4.353047847747803,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,91,حكم المباهلة في الدين:,ب, الجواب: أ: المباهلة محرمة بإجماع العلماء ,False,0.00702083472657119,0.0,5.266710996627808,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,92,حكم الرضاع المحرم للنكاح:,ب, ب: الرضاع يحرم النكاح بإجماع العلماء ,True,0.007633935801913548,1.0,5.243558406829834,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,93,حكم الحضانة للأطفال:,ب, ب: الحضانة واجبة بإجماع العلماء ,True,0.008588486560503192,1.0,4.14653754234314,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,94,حكم الدعاء على الظالم:,ب, ب: الدعاء على الظالم جائز بإجماع العلماء ,True,0.00702083472657119,1.0,4.413867235183716,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,95,حكم مصافحة الرجل للمرأة الأجنبية:,ب, ب: المصافحة محرمة بإجماع العلماء ,True,0.008377152169377823,1.0,4.470841407775879,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,96,حكم صلاة الكسوف والخسوف:,ب, ب: صلاة الكسوف سنة مؤكدة بإجماع العلماء ,True,0.0071638813215387015,1.0,4.082873106002808,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,97,حكم بيع العربون:,ب, ب: بيع العربون جائز عند جمهور العلماء ,True,0.007469938459592591,1.0,3.4704651832580566,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,98,حكم إعارة السلاح في الفتنة:,ب, ب: إعارة السلاح محرمة بإجماع العلماء ,True,0.007633935801913548,1.0,3.887498140335083,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,99,حكم الوفاء بالكفارات:,ب, ب: الوفاء بالكفارات واجب بإجماع العلماء ,True,0.0071638813215387015,1.0,3.9589028358459473,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,100,حكم الوفاء بالنذر المباح:,ب, ب: الوفاء بالنذر واجب بإجماع العلماء ,True,0.007633935801913548,1.0,3.473453998565674,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,101,خيار المجلس عند المالكية:,ب, ب ,True,0.07249749990681824,1.0,3.207916259765625,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,102,بيع الغرر اليسير في المذهب المالكي:,ب, ب ,True,0.07249749990681824,1.0,3.973421096801758,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,103,من شروط صحة الحج:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,5.878487825393677,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,104,يبدأ الإحرام للحج من:,أ, الإجابة الصحيحة هي: أ: المواقيت المكانية ,True,0.00702083472657119,1.0,5.124220132827759,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,105,من محظورات الإحرام:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,3.538288116455078,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,106,الطواف حول الكعبة يكون:,ب, ب ,True,0.07249749990681824,1.0,2.612271785736084,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,107,عدد أشواط السعي بين الصفا والمروة:,أ, الجواب: الخيار الصحيح هو (أ) سبعة أشواط. ,False,0.00702083472657119,0.0,3.860232353210449,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,108,الوقوف بعرفة يكون في اليوم:,ب, ب: التاسع من ذي الحجة ,True,0.011603982212675388,1.0,3.989372491836548,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,109,رمي الجمرات يبدأ في:,ب, الجواب: ج: أيام التشريق ,False,0.010825057921671676,0.0,3.9723477363586426,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,110,طواف الإفاضة من:,ب, الجواب: ب: أركان الحج ,False,0.011603982212675388,0.0,2.870701789855957,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,111,من أركان العمرة:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,3.1186516284942627,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,112,متى يجوز التمتع بالعمرة إلى الحج؟,أ, الإجابة الصحيحة هي: أ: في أشهر الحج ,False,0.007805988703535686,0.0,4.248323440551758,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,113,من شروط طواف الإفاضة:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,3.39131236076355,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,114,المبيت بمزدلفة ليلة النحر:,ب, ب: واجب من واجبات الحج ,False,0.011199617145528714,0.0,3.9656198024749756,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,115,أنواع النسك في الحج:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,4.118535995483398,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,116,الهدي واجب على:,أ, الجواب: أ: المتمتع والقارن ,True,0.009849574084214482,1.0,3.6804215908050537,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,117,من محظورات الإحرام للمرأة:,ج, ج: كلاهما ,True,0.021598265052211615,1.0,3.5232014656066895,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,118,حكم التحلل من الإحرام قبل إتمام النسك:,ب, الجواب: ج: غير جائز مطلقاً ,False,0.009849574084214482,0.0,4.990166187286377,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,119,طواف الوداع:,ب, الجواب: ب: واجب إلا على الحائض والنفساء ,True,0.0071638813215387015,1.0,3.543602705001831,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,120,حكم تأخير طواف الإفاضة إلى ما بعد أيام التشريق:,أ, الجواب: أ: جائز ,True,0.014936192853457254,1.0,4.098645925521851,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,121,من أسباب وجوب دم الفدية:,ج, ج ,True,0.07249749990681824,1.0,3.741163492202759,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,122,العمرة في رمضان:,أ, الجواب: أ: تعدل حجة ,True,0.012518377344512808,1.0,3.911672830581665,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,123,وقت صلاة الظهر حسب المذهب المالكي يبدأ من:,أ, الجواب الصحيح هو: أ: زوال الشمس ,True,0.008588486560503192,1.0,3.6488192081451416,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,124,وقت صلاة العصر حسب المذهب المالكي يبدأ من:,أ, الجواب الصحيح هو: أ: عندما يصير ظل كل شيء مثله ,True,0.006277466950757328,1.0,2.87560772895813,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,125,وقت صلاة المغرب حسب المذهب المالكي:,ج, الجواب الصحيح هو: ج. وقت قصير بعد غروب الشمس بقدر الوضوء وأداء ثلاث ركعات ,False,0.004309369973332364,0.0,4.6783740520477295,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,126,وقت صلاة العشاء حسب المذهب المالكي يبدأ من:,ب, ب: مغيب الشفق الأحمر ,True,0.012042033681462784,1.0,4.331118583679199,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,127,من نواقض الوضوء في المذهب المالكي:,ب, ب ,True,0.07249749990681824,1.0,3.396475076675415,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,128,من شروط صحة صلاة الجمعة في المذهب المالكي:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,5.590102672576904,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,129,ينتقض الوضوء في المذهب المالكي بـ:,د, د: أ و ج ,False,0.023457495174891017,0.0,4.218220233917236,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,130,الخطبة في صلاة الجمعة حسب المذهب المالكي:,أ," السؤال: الخطبة في صلاة الجمعة حسب المذهب المالكي:

الخيارات:
أ: شرط من شروط صحتها
ب: ركن من أركانها
ج: واجبة قبل الصلاة

الإجابة الصحيحة هي: أ: شرط من شروط صحتها ",True,0.0022199521638222182,1.0,7.8190484046936035,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,131,النوم الثقيل المستغرق في المذهب المالكي:,أ, الجواب: أ ,True,0.021598265052211615,1.0,3.783756732940674,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,132,وقت الضرورة لصلاة العصر حسب المذهب المالكي:,ب, ب: ليس له وقت ضرورة في المشهور ,True,0.008811835296733616,1.0,4.095927953720093,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,133,أركان الإسلام عددها:,أ, الجواب: أ: خمسة ,True,0.014936192853457254,1.0,3.745844602584839,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,134,أي من التالي ليس من أركان الإيمان:,ج, ج: الحج لمن استطاع إليه سبيلا ,True,0.009048295247234425,1.0,5.0076234340667725,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,135,الإحسان في الإسلام يعني:,أ, الإجابة الصحيحة هي: أ ,True,0.011603982212675388,1.0,3.8756418228149414,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,136,الفرق الأساسي بين الزكاة والصدقة أن:,ب, ب: الزكاة فريضة والصدقة تطوعية ,True,0.008811835296733616,1.0,3.615189790725708,
