embedding_model,reranker_scenario,reranker_description,question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,11,حكم الاستنجاء باليد اليمنى:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: منهي عنه بإجماع العلماء

The question states that ""الاستنجاء باليد اليمنى: منهي عنه بإجماع العلماء"", which means that according to the consensus of scholars (i.e., the majority), it is not allowed to perform wudu (ritual purification) with the right hand.",True,9.122753858566284,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,12,حكم السواك عند الصلاة:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: مستحب ومشروع بإجماع العلماء

The correct answer is option B because, according to the Maliki school, using miswak (swishing one's mouth with a twig) during prayer is considered mustahabb (recommended) and mashru' (permissible) by consensus of scholars.",True,11.333347082138062,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,13,حكم الختان للرجال:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: من سنن الإسلام ومشروع بإجماع العلماء

In other words, according to the Maliki perspective, circumcision for men is considered a recommended (mustahabb) practice, not obligatory (wajib), and it is supported by the consensus of scholars (ijma').",True,9.266324758529663,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,14,حكم التثليث في الوضوء:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: غير واجب بإجماع العلماء

This means that, according to the Maliki school of thought, performing three rinses (tathleeth) during wudu' is not obligatory.",True,8.6081862449646,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,15,ما هو حكم استقبال القبلة في الصلاة:,ب,"I'm a Maliki expert! 😊

According to Ibn Ashur, the correct answer is:

ب: واجب بإجماع العلماء

Estqbal al-Qibla (facing the direction of the Kaaba) in prayer is considered obligatory by consensus among scholars in the Maliki school.",True,10.710280895233154,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,16,حكم الطهارة للصلاة:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: واجبة بإجماع العلماء

The Maliki school holds that purification (taharah) for prayer is obligatory (wajib) by consensus among scholars.",True,9.160706281661987,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,17,حكم قراءة الفاتحة في الصلاة:,ب,"I'm a Maliki expert!

According to the context, the correct answer is:

ب: واجبة بإجماع العلماء

This is because the question states that ""قراءة الفاتحة في الصلاة: واجبة بإجماع العلماء"" (Reciting the Fatiha in prayer is obligatory according to the consensus of scholars).",True,8.888761520385742,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,18,حكم الزكاة في الإسلام:,ب,"I'm a Maliki expert! 😊

According to the context, the correct answer is:

ب: واجبة بإجماع المسلمين

The question states that the answer is ""زكاة في الإسلام: واجبة بإجماع المسلمين"", which means that zakat in Islam is obligatory by consensus of Muslims.",True,9.136165380477905,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,19,حكم التيمم عند عدم وجود الماء:,ب,"I'm a Maliki expert!

According to the context, the correct answer is:

ب: جائز بإجماع العلماء

The question states that ""تيمم عند عدم وجود الماء: جائز بإجماع العلماء"", which means that according to Ibn Ashar al-Maliki and the consensus of scholars, it is permissible to perform Tihma (dry ablution) when there is no water available.",True,10.70550537109375,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,20,حكم المسح على الخفين:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

The correct answer is: ب (Jائز بإجماع العلماء)

This is because the previous question stated that ""المسح على الخفين: المسح على الخفين جائز بإجماع العلماء"", which means that according to the consensus of scholars, it is permissible to wash the feet.",True,9.167483806610107,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,21,حكم الصلاة على الميت:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: فرض كفاية بإجماع العلماء

This means that the ruling on praying for the deceased (i.e., offering prayers or supplications for someone who has passed away) is considered a collective consensus (ijma') among scholars, and it is considered sufficient to fulfill one's obligation (kifaya).",True,10.427499532699585,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,22,حكم سجود السهو:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: واجب عند جمهور العلماء

In other words, Sajdah (prostration) for Suhu (forgetfulness) is obligatory according to the majority of scholars in the Maliki school.",True,8.573322057723999,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,23,حكم صلاة الجمعة على الرجال:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: فرض عين بإجماع العلماء

This means that Friday prayer (Salat al-Jumu'ah) is a compulsory obligation for men, and it is agreed upon by all scholars.",True,7.448597431182861,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,24,حكم صلاة العيدين:,ب,"I'm a Maliki expert!

According to Ibn Ashur, the correct answer is:

ب: سنة مؤكدة عند جمهور العلماء

In other words, according to the Maliki school of thought, the prayer of Eid (Eid al-Fitr or Eid al-Adha) is considered a confirmed sunnah (recommended practice) among the majority of scholars.",True,10.919531106948853,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,25,حكم العمرة في العمر:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: واجبة مرة واحدة بإجماع العلماء

This means that performing Umrah (lesser pilgrimage) once in a lifetime is considered obligatory by consensus among scholars.",True,6.776899814605713,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,26,حكم صلاة التراويح:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: سنة مؤكدة بإجماع العلماء

This means that the Tarawih prayer (prayer performed during Ramadan) is a confirmed Sunnah (recommended practice) agreed upon by all scholars.",True,9.405397891998291,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,27,حكم البيع بشرط الخيار:,ب,"I'll answer the question based on Maliki fiqh, specifically according to Ibn Ashir's views.

The correct answer is:

أ (محرم بإجماع العلماء)

According to Ibn Ashir, the sale with a condition of option (خيار) is prohibited by consensus among scholars.",False,8.610573530197144,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,28,حكم بيع الذهب بالذهب متفاضلاً (مع زيادة):,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: محرم بإجماع العلماء

This means that buying gold with gold at a higher price (i.e., with an increase) is prohibited by consensus among scholars in the Maliki school.",True,7.895033836364746,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,29,حكم بيع الفضة بالفضة متفاضلاً:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: محرم بإجماع العلماء

In other words, buying silver with silver at a different rate is prohibited by consensus among scholars in the Maliki school.",True,9.22445297241211,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,30,حكم بيع الطعام بالطعام متفاضلاً:,ب,"I'm a Maliki expert!

According to the context, I would answer:

السؤال: حكم بيع الطعام بالطعام متفاضلاً:

الجواب: ب (محرم بإجماع العلماء)

This is because in the Maliki school of thought, buying food with food is considered haram (forbidden) by consensus among scholars.",True,9.884961366653442,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,31,حكم بيع العربون:,ب,"I'll provide brief answers based on the Maliki school of thought, with the correct option (A, B, or C) indicated.

1. What is the ruling on buying barley for wheat in equal measure hand to hand in the Maliki school?
Answer: جائز (Jaze') - It is permissible.
2. According to Ibn Abi Zayd al-Qayrawani, what is the ruling on selling a person against their brother's sale?
Answer: محرم ومكروه (Haram and Makrooh) - It is forbidden and disliked.
3. What is the ruling on arbitrating by drawing lots (qada' bi'l-qr'a') in the Maliki school?
Answer: جائز عند التساوي في الحقوق (Jaze' when there is equality in rights) - It is permissible when there is equality in rights.
4. According to Ibn Abi Zayd al-Qayrawani, what is the ruling on selling a present for a future gift?
Answer: منهي عنه (Munahi'an 'anhu) - It is discouraged.
5. What is the ruling on buying something unknown (majhul) in the Maliki school?
Answer: فاسد (Fasid) - It is invalid.
6. What is the ruling on selling a dirham (Arabon)?
Answer: ب (B) - Jaze' when the majority of scholars agree.

Note that these answers are based on the Maliki school's views, which may differ from those of other Islamic schools of thought.",True,24.01596975326538,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,32,حكم الشفعة في العقار:,ب,"I'll provide a brief answer with the correct option (A, B, or C) based on Maliki fiqh.

The questions are:

1. Ruling on buying barley for wheat at equal prices in Maliki school:
Answer: جائز (Jaze') - Option C is correct.

2. The role of the wali (guardian) in a marriage contract according to Maliki school:
Answer: شرط لصحة النكاح مطلقاً (Shart for the validity of the marriage contract) - No option matches this answer, as it's a descriptive phrase.

3. Ruling on arbitration by lottery:
Answer: القضاء بالقرعة جائز عند التساوي في الحقوق (Arbitration by lottery is permissible when there is equality in rights) - Option C is correct.

4. Ruling on the judge's arbitrary pricing according to Maliki school:
Answer: جائز عند الحاجة (Permissible when necessary) - Option B is correct.

5. Conditions for zakat on money in Maliki school:
Answer: النصاب والحول (Nisab and hawl) - No option matches this answer, as it's a descriptive phrase.

6. Ruling on the right of preemption (shf'a) in real estate:
Answer: محرمة بإجماع العلماء (Forbidden by consensus among scholars) - Option A is correct.",False,21.079830408096313,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,33,حكم الوقف في الإسلام:,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

ب: جائز ومستحب بإجماع العلماء

The reason is that in Islamic jurisprudence (fiqh), the ruling on waqf (endowment) varies among different schools of thought. In the Maliki school, which I specialize in, waqf is considered a recommended and permissible act (jazaa' wa mustahabb).",True,10.118758916854858,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,34,حكم الهبة:,ب,"I'm a Maliki expert! 😊

According to the Maliki school, the correct answer is:

أ: محرمة بإجماع العلماء (Forbidden by consensus of scholars)

The hiba (gift) is considered forbidden in the Maliki school.",False,8.215655326843262,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,35,حكم العارية:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

ما حكم العارية؟ (What is the ruling on usury?)

الجواب: ب (The correct answer is ب: جائزة بإجماع العلماء)

Usury (riba) is prohibited in Islamic law, and this is a consensus among scholars (ijma').",True,11.765673637390137,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,36,حكم إعارة السلاح في الفتنة:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

The correct answer is: ب (محرمة بإجماع العلماء)

In other words, lending arms during a civil war is prohibited according to the consensus of scholars.",True,8.324017763137817,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,37,حكم الوديعة (حفظ المال):,ب,"I'll provide brief answers based on Maliki fiqh, with the correct option chosen from the given choices.

1. What is the ruling of zakat in the acquired wealth (wealth that a Muslim acquires during the year and has not yet been spent)?

Answer: According to Ibn Ashur's Maliki view, zakat is obligatory if the acquired wealth reaches the nisab (minimum amount required for zakat) and is combined with previous wealth.

Correct option: أ

2. What is the ruling of zakat on properties designated for housing in the Maliki school?

Answer: According to the Maliki school, there is no zakat on properties designated for housing.

Correct option: ب

3. What is the role of a wali (guardian) in a marriage contract according to the Maliki school?

Answer: According to the Maliki school, a wali is a condition for the validity of a marriage contract at all times.

Correct option: أ

4. Is it permissible to buy barley and wheat equally by weight in the Maliki school?

Answer: Yes, buying barley and wheat equally by weight is permissible according to the Maliki school.

Correct option: ج

5. What is the ruling on making a decision by drawing lots (qada' bi'l-qr'a')?

Answer: According to the Maliki school, making a decision by drawing lots is permissible when there is equality in rights.

Correct option: أ

6. Is it recommended or obligatory to keep wealth (hifdh al-mal) in the Maliki school?

Answer: According to the Maliki school, keeping wealth is not recommended or obligatory among the general public.

Correct option: ج",False,27.493532419204712,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,38,حكم الوكالة:,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

ب: جائزة بإجماع العلماء

The question asks about the ruling of agency (وكالة), and the correct answer is that it is permissible (جائز) with the consensus of scholars (إجماع العلماء).",True,7.647753477096558,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,39,حكم المضاربة (شركة بين مال وعمل):,ب,"I'll answer the question based on Maliki fiqh.

The correct answer is:

أ: محرمة بإجماع العلماء

(The consensus of scholars is that mudaarabah, or partnership between capital and work, is prohibited.)",False,6.984496831893921,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,40,حكم المساقاة (شركة بين شجر وعمل):,ب,"I'm a Maliki expert!

According to the given context, I would answer:

السؤال: حكم المساقاة (شركة بين شجر وعمل):

الجواب: أ: محرمة بإجماع العلماء

In other words, the correct answer is option A: It is prohibited by consensus among scholars.",False,8.291744470596313,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,41,حكم المزارعة (شركة بين أرض وعمل):,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of zakat in agricultural projects (like farms and factories), according to Ibn Ashir al-Maliki?

Answer: According to Ibn Ashir al-Maliki, zakat is obligatory on the profits (riyaa) of agricultural projects if they reach the nisab threshold and are subject to circulation, not on the original property or factory.

So, the correct answer is: لا تجب (not applicable).

Please let me know which question you'd like me to answer next!",True,12.896612644195557,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,42,حكم الصلح بين الخصوم:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: جائز ومستحب بإجماع العلماء

In other words, the Maliki view is that reconciliation (صلح) between disputing parties is permissible and recommended by consensus among scholars.",True,8.458489418029785,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,43,حكم الإبراء من الدين:,ب,"I'll answer the question based on Maliki fiqh, specifically according to Ibn Ashir's views.

The correct answer is:

أ: محرم بإجماع العلماء

According to Ibn Ashir, a person who frequently and repeatedly makes mistakes in their prayer (saha) due to Satan's whispers is not considered to have committed a major sin.",False,9.709775924682617,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,44,حكم إجارة العين لمالكها:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

ما هو : حكم إجارة العين لمالكها:

الخيار الصحيح: أ (محرمة بإجماع العلماء)

In Maliki fiqh, it is considered haram (forbidden) to rent or lease someone else's property without their consent.",False,7.633986234664917,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,45,حكم الإجارة على الأعمال المحرمة:,ب,"I'll answer the question based on Maliki fiqh, specifically according to Ibn Ashir's views.

The correct answer is:

ب: باطلة ومحرمة بإجماع العلماء

According to Maliki school of thought, including Ibn Ashir, renting out prohibited activities (e.g. usury, gambling) is considered invalid and forbidden by consensus among scholars.",True,10.010942459106445,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,46,حكم إجارة الرجل لامرأة أجنبية للإرضاع:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: جائزة بإجماع العلماء

The verdict by drawing lots (قرعة) is permissible when there is equality in rights.

Please let me know if you have any further questions or if there's anything else I can help you with!",True,9.4983069896698,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,47,حكم الجعالة (جعل أجرة على عمل مجهول):,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

أ: محرمة بإجماع العلماء (Forbidden by consensus of scholars)

The reason is that the Maliki school considers jualah (jailing someone for an unknown work) as haram (forbidden) due to the consensus among scholars.",False,7.261837482452393,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,48,حكم السبق (الجائزة) في المسابقات:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

ب: جائز في الخيل والإبل والسهام بإجماع العلماء

In other words, the Maliki scholars consider it permissible (jazaa') in cases involving horses, camels, and arrows.",True,7.5941150188446045,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,49,حكم الرهن:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of pawn (رهن) according to Maliki fiqh?

Answer: ج (C) - It is disliked (مكروه) among the people.

Note that in Maliki school, pawn is considered makrooh (disliked) but not haram (forbidden).",False,10.156761407852173,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,50,حكم الكفالة والضمان:,ب,"I'm happy to help!

Based on the Maliki school of thought, I would answer:

* السؤال الأول: ما حكم ضمان المودع حسب ابن أبي زيد القيرواني؟ (What is the ruling on guaranteeing a deposit according to Ibn Abi Zayd al-Qayrawani?)
Answer: أ (Only guaranteed by consent or default)

* السؤال الثاني: حكم تأخير طواف الإفاضة إلى ما بعد أيام التشريق: (Is it permissible to delay the farewell Tawaf until after the days of Hajj?)
Answer: ج (Permissible)

* السؤال الثالث: حكم الولي في عقد النكاح عند المالكية: (What is the ruling on a guardian's role in marriage contracts according to the Maliki school?)
Answer: أ (A condition for the validity of marriage, absolutely)

* السؤال الرابع: ما حكم القضاء بالقرعة؟ (What is the ruling on judgment by lottery?)
Answer: ج (Permissible when there is equality in rights)

* السؤال الخامس: حكم الاستنجاء باليد اليمنى: (Is it permissible to perform ablution with the right hand?)
Answer: أ (Forbidden, according to the consensus of scholars)

* السؤال السادس: حكم الكفالة والضمان: (What is the ruling on sponsorship and guaranteeing?)
Answer: ب (Both sponsorship and guaranteeing are permissible, according to the consensus of scholars)",True,22.887328624725342,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,51,حكم الحوالة:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

السؤال: حكم الحوالة:

الجواب: أ: الحوالة محرمة بإجماع العلماء

The correct answer is (أ) because in Maliki fiqh, hawala (transfer of debt or obligation) is considered Haram (forbidden) by consensus among scholars.",False,9.046241283416748,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,52,حكم الأيمان:,ب,"I'll answer the question based on Maliki fiqh.

The correct answer is:

ب: الأيمان جائزة بالله وصفاته

According to Ibn Abi Zid al-Qayrawani, an influential Maliki scholar, oaths (al-yameen) are permissible in non-sinful situations, but with disapproval.",True,8.49250078201294,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,53,حكم الصيد بالكلب المعلم:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: الصيد بالكلب المعلم جائز بإجماع العلماء

The Maliki school of thought allows hunting with trained dogs (الكلب المعلم) as it is considered a means of facilitating the hunt and not harming the animal.",True,8.619418382644653,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,54,حكم الذبائح:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling on animal slaughter by a non-Muslim?

Answer: The correct choice is ب (B): The animal slaughter by a non-Muslim is permissible as long as it's done for other than Allah.

In Maliki fiqh, the ruling on animal slaughter by a non-Muslim depends on the circumstances. If the slaughter is not for the sake of Allah, but rather for personal consumption or trade, then it's considered halal (permissible). However, if the slaughter is done for other purposes, such as for a non-Muslim deity or for human consumption without intention to offer it to Allah, then it becomes haram (prohibited).

So, the correct answer is ب (B): The animal slaughter by a non-Muslim is permissible as long as it's done for other than Allah.",True,15.869566679000854,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,55,حكم الصيد بالجوارح (غير الكلب):,ب,"I'm a Maliki expert!

According to the given context, I would answer:

الخيار الصحيح: ب: الصيد بالجوارح (غير الكلب) جائز بإجماع العلماء

In other words, according to the Maliki school of thought, hunting with animals other than dogs is permissible.",True,8.244774103164673,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,56,حكم الأضحية:,ب,"I'm a Maliki expert! 😊

According to the given context, the correct answer is:

ب: الأضحية سنة مؤكدة عند جمهور العلماء

The Maliki school of thought considers the sacrifice (a'dhiyah) as a confirmed sunnah (recommended practice), not a compulsory act (frarz 'ayn).",True,7.869298458099365,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,57,حكم العقيقة عن المولود:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: العقيقة سنة مؤكدة بإجماع العلماء

In other words, the 'aqiqah (a celebration and sacrifice made after the birth of a child) is considered a confirmed sunnah (way of the Prophet) by consensus among scholars.",True,9.715745210647583,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,58,حكم الجهاد في سبيل الله:,ب,"I'm a Maliki expert!

According to the context, I will answer the question based on Ibn Abi Zayd al-Qayrawani's views.

The correct answer is:

ب: الجهاد فرض كفاية بإجماع العلماء

(Ibn Abi Zayd al-Qayrawani considers jihad as a collective obligation, i.e., if some Muslims take up arms to defend Islam, the rest are exempt from doing so.)",True,9.341508865356445,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,59,حكم قتال المرتد:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: قتال المرتد واجب بإجماع العلماء

In other words, according to the Maliki perspective, it is obligatory to fight against those who apostatize (مرتد) from Islam.",True,9.397359371185303,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,60,حكم قتال البغاة:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of fighting rebels?

Answer: ب (B) قتال البغاة واجب بإجماع العلماء (Fighting rebels is obligatory according to the consensus of scholars).",True,7.114261150360107,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,61,حكم قتال أهل الذمة:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

الجواب: ب: قتال أهل الذمة محرم بإجماع العلماء ما لم ينقضوا العهد

This is because in Maliki school of thought, fighting non-Muslims (Ahl al-Dhimmah) is prohibited unless they break their treaty or covenant with Muslims.",True,13.63461709022522,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,62,حكم الجزية:,ب,"I'm a Maliki expert! 😊

According to Ibn Ashur, the correct answer is:

ب: الجزية واجبة على أهل الكتاب بإجماع العلماء

In Islamic law, the jizya (a tax paid by non-Muslims living under Muslim rule) is considered obligatory on People of the Book (Jews and Christians), as stated in the Quran and Hadith.",True,8.832741975784302,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,63,حكم الرق (العبودية):,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

السؤال: حكم الرق (العبودية):

الخيار الصحيح: أ: الرق محرم بإجماع العلماء

The correct answer is A: The slavery (raq) is prohibited by consensus of scholars.",False,8.97427487373352,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,64,حكم العتق:,ب,"I'm happy to help!

According to the Maliki school of thought, the correct answer is:

السؤال: حكم القصاص في القتل العمد:
الجواب: ماهو : حكم القصاص في القتل العمد: واجب بإجماع العلماء

So, the correct choice is أ (العتق محرم بإجماع العلماء).",False,8.449589729309082,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,65,حكم الولاء:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

الجواب: ب: الولاء للمسلم على المسلم واجب بإجماع العلماء

The correct answer is option B, as the Maliki school of thought holds that loyalty (ولاء) is obligatory between Muslims.",True,8.382420063018799,
MiniLM-L12,cross_encoder,Cross-Encoder MS-MARCO,66,حكم شهادة الزور:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: شهادة الزور محرمة بإجماع المسلمين

In other words, false testimony (zoor) is strictly prohibited in Islam.",True,8.13752031326294,
