model,question_id,question,correct_answer,model_answer,is_correct,bleu,f1,response_time,error_message
MiniLM-L12,19,حكم التيمم عند عدم وجود الماء:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.5334057807922363,
MiniLM-L12,20,حكم المسح على الخفين:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.2626852989196777,
MiniLM-L12,21,حكم الصلاة على الميت:,ب, ب: فرض كفاية بإجماع العلماء ,True,0.009565665109256835,1.0,3.157653570175171,
MiniLM-L12,22,حكم سجود السهو:,ب, ب: واجب عند جمهور العلماء ,True,0.01015265650850611,1.0,3.534893035888672,
MiniLM-L12,23,حكم صلاة الجمعة على الرجال:,ب, ب: فرض عين بإجماع العلماء ,True,0.01015265650850611,1.0,4.2927141189575195,
MiniLM-L12,24,حكم صلاة العيدين:,ب, ج: فرض كفاية ,False,0.0,0.0,2.997062921524048,
MiniLM-L12,25,حكم العمرة في العمر:,ب, ب: واجبة مرة واحدة بإجماع العلماء ,True,0.008176856499690712,1.0,2.5742909908294678,
MiniLM-L12,26,حكم صلاة التراويح:,ب, ب: سنة مؤكدة بإجماع العلماء ,True,0.009565665109256835,1.0,4.252920389175415,
MiniLM-L12,27,حكم البيع بشرط الخيار:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.6486926078796387,
MiniLM-L12,28,حكم بيع الذهب بالذهب متفاضلاً (مع زيادة):,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,4.248921632766724,
MiniLM-L12,29,حكم بيع الفضة بالفضة متفاضلاً:,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,3.5652236938476562,
MiniLM-L12,30,حكم بيع الطعام بالطعام متفاضلاً:,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,3.0464649200439453,
MiniLM-L12,31,حكم بيع العربون:,ب, ب: جائز عند جمهور العلماء ,True,0.01015265650850611,1.0,3.9408257007598877,
MiniLM-L12,32,حكم الشفعة في العقار:,ب, ب: ثابتة بإجماع العلماء ,True,0.010825057921671676,1.0,2.808356761932373,
MiniLM-L12,33,حكم الوقف في الإسلام:,ب, ب: جائز ومستحب بإجماع العلماء ,True,0.009048295247234425,1.0,3.6309056282043457,
MiniLM-L12,34,حكم الهبة:,ب, ب: جائزة ومستحبة بإجماع العلماء ,True,0.008588486560503192,1.0,3.0893702507019043,
MiniLM-L12,35,حكم العارية:,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,3.6596410274505615,
MiniLM-L12,36,حكم إعارة السلاح في الفتنة:,ب, ب: محرمة بإجماع العلماء ,True,0.010825057921671676,1.0,3.4061481952667236,
MiniLM-L12,37,حكم الوديعة (حفظ المال):,ب, الجواب: ب: جائزة وواجبة عند الجمهور ,True,0.007805988703535686,1.0,4.486318111419678,
MiniLM-L12,38,حكم الوكالة:,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,2.5364387035369873,
MiniLM-L12,39,حكم المضاربة (شركة بين مال وعمل):,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,4.211258172988892,
MiniLM-L12,40,حكم المساقاة (شركة بين شجر وعمل):,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,3.7282352447509766,
MiniLM-L12,41,حكم المزارعة (شركة بين أرض وعمل):,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,3.8234851360321045,
MiniLM-L12,42,حكم الصلح بين الخصوم:,ب, ب: جائز ومستحب بإجماع العلماء ,True,0.009048295247234425,1.0,4.301091909408569,
MiniLM-L12,43,حكم الإبراء من الدين:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,2.5606091022491455,
MiniLM-L12,44,حكم إجارة العين لمالكها:,ب, ب: جائزة عند جمهور العلماء ,True,0.009849574084214482,1.0,3.448590040206909,
MiniLM-L12,45,حكم الإجارة على الأعمال المحرمة:,ب, ب: باطلة ومحرمة بإجماع العلماء ,True,0.008811835296733616,1.0,4.258764982223511,
MiniLM-L12,46,حكم إجارة الرجل لامرأة أجنبية للإرضاع:,ب, أ: محرمة بإجماع العلماء ,False,0.010825057921671676,0.0,3.7966127395629883,
MiniLM-L12,47,حكم الجعالة (جعل أجرة على عمل مجهول):,ب, ب: جائزة بإجماع العلماء ,True,0.010825057921671676,1.0,3.1654810905456543,
MiniLM-L12,48,حكم السبق (الجائزة) في المسابقات:,ب, ب: جائز في الخيل والإبل والسهام بإجماع العلماء ,True,0.006277466950757328,1.0,2.4997475147247314,
MiniLM-L12,49,حكم الرهن:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,2.8343141078948975,
MiniLM-L12,50,حكم الكفالة والضمان:,ب, ب: الكفالة والضمان جائزان بإجماع العلماء ,True,0.00702083472657119,1.0,3.416618585586548,
MiniLM-L12,51,حكم الحوالة:,ب, ب: الحوالة جائزة بإجماع العلماء ,True,0.008588486560503192,1.0,2.9597649574279785,
MiniLM-L12,52,حكم الأيمان:,ب, ب: الأيمان جائزة بالله وصفاته ,True,0.009048295247234425,1.0,3.588578462600708,
MiniLM-L12,53,حكم الصيد بالكلب المعلم:,ب, ب: الصيد بالكلب المعلم جائز بإجماع العلماء ,True,0.0067525623389387635,1.0,3.3137173652648926,
MiniLM-L12,54,حكم الذبائح:,ب, ب: الذبائح حلال بإجماع المسلمين ما لم تذبح لغير الله ,True,0.0056860862169080505,1.0,4.190647125244141,
MiniLM-L12,55,حكم الصيد بالجوارح (غير الكلب):,ب, ب: الصيد بالجوارح (غير الكلب) جائز بإجماع العلماء ,True,0.005965939103175657,1.0,3.633527994155884,
MiniLM-L12,56,حكم الأضحية:,ب, ب: الأضحية سنة مؤكدة عند جمهور العلماء ,True,0.007313425995364251,1.0,3.7187554836273193,
MiniLM-L12,57,حكم العقيقة عن المولود:,ب, ب: العقيقة سنة مؤكدة بإجماع العلماء ,True,0.007805988703535686,1.0,4.044585227966309,
MiniLM-L12,58,حكم الجهاد في سبيل الله:,ب, ب: الجهاد فرض كفاية بإجماع العلماء ,True,0.007986728673290205,1.0,3.1764848232269287,
MiniLM-L12,59,حكم قتال المرتد:,ب, ب: قتال المرتد واجب بإجماع العلماء ,True,0.007986728673290205,1.0,3.159529685974121,
MiniLM-L12,60,حكم قتال البغاة:,ب, ب: قتال البغاة واجب بإجماع العلماء ,True,0.007986728673290205,1.0,3.4830589294433594,
MiniLM-L12,61,حكم قتال أهل الذمة:,ب, ب: قتال أهل الذمة محرم بإجماع العلماء ما لم ينقضوا العهد ,True,0.005354194904142114,1.0,3.451483726501465,
MiniLM-L12,62,حكم الجزية:,ب, ب: الجزية واجبة على أهل الكتاب بإجماع العلماء ,True,0.006389329974674238,1.0,2.686471939086914,
MiniLM-L12,63,حكم الرق (العبودية):,ب, ب: الرق مشروع في بعض الحالات وبشروط بإجماع العلماء ,True,0.005869389976559867,1.0,3.018655776977539,
MiniLM-L12,64,حكم العتق:,ب, الجواب: ج: العتق مكروه عند الجمهور ,False,0.007986728673290205,0.0,2.6953587532043457,
MiniLM-L12,65,حكم الولاء:,ب, ب: الولاء للمسلم على المسلم واجب بإجماع العلماء ,True,0.00616976802746866,1.0,2.601835012435913,
MiniLM-L12,66,حكم شهادة الزور:,ب, ب: شهادة الزور محرمة بإجماع المسلمين ,True,0.007633935801913548,1.0,2.6744072437286377,
MiniLM-L12,67,حكم القضاء في الإسلام:,ب, ب: القضاء واجب على الكفاية بإجماع العلماء ,True,0.006883858510498897,1.0,3.106330156326294,
MiniLM-L12,68,حكم المظالم:,ب, ب: المظالم محرمة بإجماع المسلمين ,True,0.008377152169377823,1.0,3.562136650085449,
MiniLM-L12,69,حكم أخذ مال المسلم بغير حق:,ب, ب: أخذ مال المسلم محرم بإجماع المسلمين ,True,0.007313425995364251,1.0,3.549325704574585,
MiniLM-L12,70,حكم المهر في النكاح:,ب, ب: المهر واجب بإجماع العلماء ,True,0.0092991042878441,1.0,3.540234088897705,
MiniLM-L12,71,حكم الصداق (الهبة من الرجل لزوجته):,ب, ب: الصداق جائز ومستحب بإجماع العلماء ,True,0.007633935801913548,1.0,3.3824265003204346,
MiniLM-L12,72,حكم الإعسار في الدين:,ب, ب: ينظر المعسر بإجماع العلماء ,True,0.009048295247234425,1.0,2.589195489883423,
MiniLM-L12,73,حكم الإفلاس:,ب, ب: يعلن إفلاسه بإجماع العلماء ,True,0.009048295247234425,1.0,3.661102771759033,
MiniLM-L12,74,حكم التفليس:,ب," السؤال: حكم التفليس:
الخيارات:
أ: التفليس محرم بإجماع العلماء
ب: التفليس جائز بإجماع العلماء
ج: التفليس مكروه عند الجمهور

الإجابة الصحيحة هي: أ: التفليس محرم بإجماع العلماء ",False,0.002087979779158443,0.0,5.405736923217773,
MiniLM-L12,75,حكم الكفالة:,ب, ب: الكفالة جائزة بإجماع العلماء ,True,0.008588486560503192,1.0,2.9638774394989014,
MiniLM-L12,76,حكم الضمان:,ب, ب: الضمان جائز بإجماع العلماء ,True,0.009048295247234425,1.0,3.0249381065368652,
MiniLM-L12,77,حكم الإيلاء (اليمين على عدم قربان الزوجة):,ب, الجواب: أ: الإيلاء محرم بإجماع العلماء ,False,0.007313425995364251,0.0,3.9704723358154297,
MiniLM-L12,78,حكم الظهار:,ب, ب: الظهار محرم بإجماع العلماء ,True,0.009048295247234425,1.0,3.358126401901245,
MiniLM-L12,79,حكم اللعان:,ب, ب: اللعان مشروع عند التهمة بالزنا ,True,0.008176856499690712,1.0,2.6627461910247803,
MiniLM-L12,80,حكم الخلع:,ب, ب: الخلع جائز بإجماع العلماء ,True,0.0092991042878441,1.0,3.320842742919922,
MiniLM-L12,81,حكم الطلاق:,ب, ب: الطلاق جائز بأسبابه وبشروطه بإجماع العلماء ,True,0.006389329974674238,1.0,3.050830364227295,
MiniLM-L12,82,حكم الرجعة بعد الطلاق:,ب, ب: الرجعة جائزة في الطلاق الرجعي بإجماع العلماء ,True,0.00616976802746866,1.0,2.6117186546325684,
MiniLM-L12,83,حكم العدة بعد الطلاق:,ب, ب: العدة واجبة بإجماع العلماء ,True,0.009048295247234425,1.0,1.6434650421142578,
MiniLM-L12,84,حكم النفقة بعد الطلاق:,ب, ب: النفقة واجبة في العدة بإجماع العلماء ,True,0.0071638813215387015,1.0,1.9726483821868896,
MiniLM-L12,85,حكم الحضانة بعد الطلاق:,ب, ب: الحضانة واجبة بإجماع العلماء ,True,0.008588486560503192,1.0,2.841055154800415,
MiniLM-L12,86,حكم الوصية للوارث:,ب, ب: الوصية للوارث محرمة بإجماع العلماء إلا بإذن باقي الورثة ,True,0.005203424609196104,1.0,4.0773024559021,
MiniLM-L12,87,حكم وجوب صلاة الوتر:,ب, ب: صلاة الوتر سنة مؤكدة عند جمهور العلماء ,True,0.006883858510498897,1.0,3.486250638961792,
MiniLM-L12,88,حكم ذبح غير المسلم للحيوان المأكول:,ب, ب: ذبيحته حرام إلا ذبيحة أهل الكتاب بالشروط المعتبرة عند جمهور العلماء ,True,0.0044608951829991,1.0,4.499788284301758,
MiniLM-L12,89,حكم من سب الله أو رسوله:,ب, ب: هو كافر مرتد بإجماع العلماء ,True,0.008811835296733616,1.0,2.923673629760742,
MiniLM-L12,90,حكم اللعان بين الزوجين:,ب, ب: اللعان مشروع بإجماع العلماء عند التهمة بالزنا ,True,0.006065997938636506,1.0,4.298172235488892,
MiniLM-L12,91,حكم المباهلة في الدين:,ب, ب: المباهلة جائزة بإجماع العلماء عند الحاجة ,True,0.006626589205134352,1.0,3.7602312564849854,
MiniLM-L12,92,حكم الرضاع المحرم للنكاح:,ب, ب: الرضاع يحرم النكاح بإجماع العلماء ,True,0.007633935801913548,1.0,3.856182098388672,
MiniLM-L12,93,حكم الحضانة للأطفال:,ب, ب: الحضانة واجبة بإجماع العلماء ,True,0.008588486560503192,1.0,3.2786920070648193,
MiniLM-L12,94,حكم الدعاء على الظالم:,ب, الإجابة الصحيحة هي: أ: الدعاء على الظالم محرم بإجماع العلماء ,False,0.0050615410611162615,0.0,6.204883813858032,
MiniLM-L12,95,حكم مصافحة الرجل للمرأة الأجنبية:,ب, ب: المصافحة محرمة بإجماع العلماء ,True,0.008377152169377823,1.0,4.148549795150757,
MiniLM-L12,96,حكم صلاة الكسوف والخسوف:,ب, ب: صلاة الكسوف سنة مؤكدة بإجماع العلماء ,True,0.0071638813215387015,1.0,4.196118116378784,
MiniLM-L12,97,حكم بيع العربون:,ب, ب: بيع العربون جائز عند جمهور العلماء ,True,0.007469938459592591,1.0,4.023740291595459,
MiniLM-L12,98,حكم إعارة السلاح في الفتنة:,ب, ب: إعارة السلاح محرمة بإجماع العلماء ,True,0.007633935801913548,1.0,4.243621110916138,
MiniLM-L12,99,حكم الوفاء بالكفارات:,ب, ب: الوفاء بالكفارات واجب بإجماع العلماء ,True,0.0071638813215387015,1.0,3.319186210632324,
MiniLM-L12,100,حكم الوفاء بالنذر المباح:,ب, ب: الوفاء بالنذر واجب بإجماع العلماء ,True,0.007633935801913548,1.0,3.132725715637207,
MiniLM-L12,101,خيار المجلس عند المالكية:,ب, ب ,True,0.07249749990681824,1.0,2.9707846641540527,
MiniLM-L12,102,بيع الغرر اليسير في المذهب المالكي:,ب, ب ,True,0.07249749990681824,1.0,3.4954490661621094,
MiniLM-L12,103,من شروط صحة الحج:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,2.3477447032928467,
MiniLM-L12,104,يبدأ الإحرام للحج من:,أ, الجواب: أ: المواقيت المكانية ,True,0.0092991042878441,1.0,2.8388428688049316,
MiniLM-L12,105,من محظورات الإحرام:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,2.9397079944610596,
MiniLM-L12,106,الطواف حول الكعبة يكون:,ب, ب: عكس اتجاه عقارب الساعة ,True,0.01015265650850611,1.0,2.7197763919830322,
MiniLM-L12,107,عدد أشواط السعي بين الصفا والمروة:,أ, الجواب: أ: سبعة أشواط ,True,0.011603982212675388,1.0,3.3859899044036865,
MiniLM-L12,108,الوقوف بعرفة يكون في اليوم:,ب, ب: التاسع من ذي الحجة ,True,0.011603982212675388,1.0,3.235668659210205,
MiniLM-L12,109,رمي الجمرات يبدأ في:,ب, ب: يوم النحر ,True,0.01758542189440898,1.0,2.216827392578125,
MiniLM-L12,110,طواف الإفاضة من:,ب, الجواب: ب: أركان الحج ,False,0.011603982212675388,0.0,2.141936779022217,
MiniLM-L12,111,من أركان العمرة:,د, الجواب: د: جميع ما سبق ,False,0.011199617145528714,0.0,2.272066831588745,
MiniLM-L12,112,متى يجوز التمتع بالعمرة إلى الحج؟,أ, الإجابة الصحيحة هي: أ: في أشهر الحج ,False,0.007805988703535686,0.0,3.36517071723938,
MiniLM-L12,113,من شروط طواف الإفاضة:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,2.339725971221924,
MiniLM-L12,114,المبيت بمزدلفة ليلة النحر:,ب, ب: واجب من واجبات الحج ,False,0.011199617145528714,0.0,3.413200855255127,
MiniLM-L12,115,أنواع النسك في الحج:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,2.4989686012268066,
MiniLM-L12,116,الهدي واجب على:,أ, الجواب: أ: المتمتع والقارن ,True,0.009849574084214482,1.0,3.1786880493164062,
MiniLM-L12,117,من محظورات الإحرام للمرأة:,ج, الجواب: ب: لبس القفازين ,False,0.010825057921671676,0.0,3.855259656906128,
MiniLM-L12,118,حكم التحلل من الإحرام قبل إتمام النسك:,ب, ب: جائز بشرط الاشتراط عند الإحرام ,True,0.008176856499690712,1.0,3.7907233238220215,
MiniLM-L12,119,طواف الوداع:,ب, الجواب الصحيح هو: ب: واجب إلا على الحائض والنفساء ,True,0.005965939103175657,1.0,3.017335891723633,
MiniLM-L12,120,حكم تأخير طواف الإفاضة إلى ما بعد أيام التشريق:,أ, الجواب: أ: جائز ,True,0.014936192853457254,1.0,3.3635201454162598,
MiniLM-L12,121,من أسباب وجوب دم الفدية:,ج, ج ,True,0.07249749990681824,1.0,3.018670082092285,
MiniLM-L12,122,العمرة في رمضان:,أ, الجواب الصحيح هو: أ: تعدل حجة ,True,0.009048295247234425,1.0,3.2616689205169678,
MiniLM-L12,123,وقت صلاة الظهر حسب المذهب المالكي يبدأ من:,أ, الجواب الصحيح هو: أ: زوال الشمس ,True,0.008588486560503192,1.0,2.8615031242370605,
MiniLM-L12,124,وقت صلاة العصر حسب المذهب المالكي يبدأ من:,أ, الجواب الصحيح هو: أ: عندما يصير ظل كل شيء مثله ,True,0.006277466950757328,1.0,3.2427563667297363,
MiniLM-L12,125,وقت صلاة المغرب حسب المذهب المالكي:,ج, ج ,True,0.07249749990681824,1.0,2.938917875289917,
MiniLM-L12,126,وقت صلاة العشاء حسب المذهب المالكي يبدأ من:,ب, ب: مغيب الشفق الأحمر ,True,0.012042033681462784,1.0,3.7065441608428955,
MiniLM-L12,127,من نواقض الوضوء في المذهب المالكي:,ب, الجواب: ب ,True,0.021598265052211615,1.0,3.044881820678711,
MiniLM-L12,128,من شروط صحة صلاة الجمعة في المذهب المالكي:,د, د: جميع ما سبق ,False,0.01571523700545522,0.0,3.8084661960601807,
MiniLM-L12,129,ينتقض الوضوء في المذهب المالكي بـ:,د, الجواب: د ,False,0.021598265052211615,0.0,3.0593974590301514,
MiniLM-L12,130,الخطبة في صلاة الجمعة حسب المذهب المالكي:,أ, أ: شرط من شروط صحتها ,True,0.012042033681462784,1.0,4.0857720375061035,
MiniLM-L12,131,النوم الثقيل المستغرق في المذهب المالكي:,أ, الجواب الصحيح هو: أ: ينقض الوضوء مطلقاً ,True,0.0071638813215387015,1.0,3.048199415206909,
MiniLM-L12,132,وقت الضرورة لصلاة العصر حسب المذهب المالكي:,ب, ب: ليس له وقت ضرورة في المشهور ,True,0.008811835296733616,1.0,3.508244037628174,
MiniLM-L12,133,أركان الإسلام عددها:,أ, الجواب: أ: خمسة ,True,0.014936192853457254,1.0,2.3975961208343506,
MiniLM-L12,134,أي من التالي ليس من أركان الإيمان:,ج, ج: الحج لمن استطاع إليه سبيلا ,True,0.009048295247234425,1.0,2.6384646892547607,
MiniLM-L12,135,الإحسان في الإسلام يعني:,أ," الإحسان في الإسلام يعني: 
أ: أن تعبد الله كأنك تراه، فإن لم تكن تراه فإنه يراك ",True,0.004079981195306543,1.0,3.4464240074157715,
MiniLM-L12,136,الفرق الأساسي بين الزكاة والصدقة أن:,ب, ب: الزكاة فريضة والصدقة تطوعية ,True,0.008811835296733616,1.0,3.4283244609832764,
MiniLM-L12,137,أجر صيام يوم عرفة للحاج:,ب, ب: لا يُسن للحاج صيام يوم عرفة ,False,0.008811835296733616,0.0,3.962665557861328,
MiniLM-L12,138,أجر صيام يوم عاشوراء:,ب, ب: يكفر السنة التي قبله فقط ,True,0.009565665109256835,1.0,2.863847017288208,
MiniLM-L12,139,ليلة القدر هي:,أ, الجواب الصحيح هو: أ: ليلة من العشر الأواخر من رمضان ,True,0.005776163584689931,1.0,3.7553539276123047,
MiniLM-L12,140,القهقهة (الضحك بصوت) في الصلاة حسب المذهب المالكي:,أ, الجواب الصحيح هو: أ: القهقهة تبطل الصلاة ولا تنقض الوضوء ,True,0.005354194904142114,1.0,7.663548469543457,
AraModernBert-STS,1,حكم الطهارة لمن أراد أداء الصلاة:,أ, الجواب: أ: واجبة بإجماع المسلمين ,True,0.008377152169377823,1.0,5.9016196727752686,
AraModernBert-STS,2,ما هو حكم الوضوء بفضل وضوء مسلم آخر:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,4.3402369022369385,
AraModernBert-STS,3,حكم وضوء الرجل والمرأة معاً في إناء واحد:,ج, ج: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.5621888637542725,
AraModernBert-STS,4,حكم ماء البحر للوضوء:,أ, الجواب الصحيح هو: أ: طهور بإجماع العلماء ,True,0.00702083472657119,1.0,3.498081684112549,
AraModernBert-STS,5,حكم الوضوء بالمائعات غير الماء:,ب, ب: لا يجوز بإجماع العلماء (عدا النبيذ محل خلاف) ,True,0.00616976802746866,1.0,4.12380313873291,
AraModernBert-STS,6,حكم الاستنجاء بالماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,2.678872585296631,
AraModernBert-STS,7,حكم الاستجمار بالأحجار:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,2.48618221282959,
AraModernBert-STS,8,حكم الجمع بين الاستجمار والاستنجاء بالماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,3.5772757530212402,
AraModernBert-STS,9,حكم الاستجمار بغير الحجارة:,ب, ب: جائز بالطاهر المنقي ما لم يكن طعاماً ,True,0.0071638813215387015,1.0,3.3374392986297607,
AraModernBert-STS,10,حكم الاستجمار مع وجود الماء:,ب, ب: جائز ومجمع عليه ,True,0.013038525962482981,1.0,3.290908098220825,
AraModernBert-STS,11,حكم الاستنجاء باليد اليمنى:,ب, ب: منهي عنه بإجماع العلماء ,True,0.009849574084214482,1.0,3.8021492958068848,
AraModernBert-STS,12,حكم السواك عند الصلاة:,ب, ب: مستحب ومشروع بإجماع العلماء ,True,0.008811835296733616,1.0,3.8000733852386475,
AraModernBert-STS,13,حكم الختان للرجال:,ب, ب: من سنن الإسلام ومشروع بإجماع العلماء ,True,0.0071638813215387015,1.0,4.164811849594116,
AraModernBert-STS,14,حكم التثليث في الوضوء:,ب, ب: غير واجب بإجماع العلماء ,True,0.009849574084214482,1.0,3.4997737407684326,
AraModernBert-STS,15,ما هو حكم استقبال القبلة في الصلاة:,ب, ب: واجب بإجماع العلماء ,True,0.011199617145528714,1.0,3.3615987300872803,
AraModernBert-STS,16,حكم الطهارة للصلاة:,ب, ب: واجبة بإجماع المسلمين ,True,0.010477009940175953,1.0,2.4238827228546143,
AraModernBert-STS,17,حكم قراءة الفاتحة في الصلاة:,ب, ب: واجبة بإجماع العلماء ,True,0.010825057921671676,1.0,3.4513654708862305,
AraModernBert-STS,18,حكم الزكاة في الإسلام:,ب, ب: واجبة بإجماع المسلمين ,True,0.010477009940175953,1.0,3.274015426635742,
AraModernBert-STS,19,حكم التيمم عند عدم وجود الماء:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,5.20759391784668,
AraModernBert-STS,20,حكم المسح على الخفين:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,2.6556172370910645,
AraModernBert-STS,21,حكم الصلاة على الميت:,ب, ب: فرض كفاية بإجماع العلماء ,True,0.009565665109256835,1.0,3.358757734298706,
AraModernBert-STS,22,حكم سجود السهو:,ب, الجواب: ج: سنة مؤكدة ,False,0.012042033681462784,0.0,3.9526264667510986,
AraModernBert-STS,23,حكم صلاة الجمعة على الرجال:,ب, ب: فرض عين بإجماع العلماء ,True,0.01015265650850611,1.0,2.6972432136535645,
AraModernBert-STS,24,حكم صلاة العيدين:,ب, الجواب: ب: سنة مؤكدة عند جمهور العلماء ,True,0.007313425995364251,1.0,3.518547773361206,
AraModernBert-STS,25,حكم العمرة في العمر:,ب, الإجابة الصحيحة هي: أ: سنة مؤكدة ,False,0.008377152169377823,0.0,2.5253407955169678,
AraModernBert-STS,26,حكم صلاة التراويح:,ب, ب: سنة مؤكدة بإجماع العلماء ,True,0.009565665109256835,1.0,2.888415575027466,
AraModernBert-STS,27,حكم البيع بشرط الخيار:,ب, ب: جائز بإجماع العلماء ,True,0.011199617145528714,1.0,3.2478768825531006,
AraModernBert-STS,28,حكم بيع الذهب بالذهب متفاضلاً (مع زيادة):,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,3.8810019493103027,
AraModernBert-STS,29,حكم بيع الفضة بالفضة متفاضلاً:,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,2.0836870670318604,
AraModernBert-STS,30,حكم بيع الطعام بالطعام متفاضلاً:,ب, ب: محرم بإجماع العلماء ,True,0.011199617145528714,1.0,4.08707594871521,
AraModernBert-STS,31,حكم بيع العربون:,ب," الجواب: 
ج: مكروه عند الجمهور ",False,0.009048295247234425,0.0,3.7876319885253906,
AraModernBert-STS,32,حكم الشفعة في العقار:,ب, ب: ثابتة بإجماع العلماء ,True,0.010825057921671676,1.0,2.8479156494140625,
AraModernBert-STS,33,حكم الوقف في الإسلام:,ب, ب: جائز ومستحب بإجماع العلماء ,True,0.009048295247234425,1.0,3.799433469772339,
AraModernBert-STS,34,حكم الهبة:,ب, ب: جائزة ومستحبة بإجماع العلماء ,True,0.008588486560503192,1.0,3.9012537002563477,
AraModernBert-STS,35,حكم العارية:,ب, الجواب: أ: محرمة بإجماع العلماء ,False,0.008588486560503192,0.0,4.022456407546997,
AraModernBert-STS,36,حكم إعارة السلاح في الفتنة:,ب, ب: محرمة بإجماع العلماء ,True,0.010825057921671676,1.0,4.277721166610718,
